LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,01737,Accawmacke Elementary,510006001737,No,2091737,38,1696282,169935.67,6,126723,3,132168,2,136564,1993892,9,185555,45,2039598,2,136564,2361717,215662.29
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,01738,Metompkin Elementary,510006001738,No,2129072,39,1673026,174484.16,6,135415,3,136578,3,184053,1967989,12,269440,47,2009189,3,184053,2462683,240908.09
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02003,Nandua High,510006002003,No,2968937,51,2461659,253625.93,5,94131,5,251923,2,161224,2702690,6,126232,57,2760853,2,161224,3048309,264493.04
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02028,Arcadia High,510006002028,No,2907301,49,2351862,269058.01,3,74503,5,246216,3,234720,2589315,4,94873,55,2636867,3,234720,2966460,293024.02
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02433,Nandua Middle,510006002433,No,2472753,45,2087359,146048.1,3,79308,3,151998,2,154088,2400772,6,143902,52,2432201,2,154088,2730192,165168.22
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02434,Arcadia Middle,510006002434,No,2151523,38,1795379,123685.76,3,60064,2,97260,2,151268,2121452,5,96823,46,2169004,2,151268,2417095,143527.18
VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,02561,Maggie L. Walker Governor's School,510006102561,No,4164003.3,45,3384966.7,341881.7,0,NA,9,471714.7,3,307321.9,3384966.7,0,0,9,471714.7,3,307321.9,4164003.3,341881.7
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,02967,Yvonne B. Miller High School,510007002967,Yes,5425418,52,1904846,1104347,5,350713,35,2394125,16,775734,1904846,5,350713,35,2394125,16,775734,5425418,565376
VA,VIRGINIA,5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,02347,Lynchburg City Secondary Alternative,510007202347,No,766120.93,11.5,539793.63,666017.19,1,16123.16,0.87,45839.56,4.15,164364.58,651101.94,3,57151.12,1.02,53218.5,5,211075.44,972547,74238.87
VA,VIRGINIA,5100073,ENTERPRISE ACADEMY/NEWPORT NEWS CITY,02348,Enterprise Academy/Newport News City,510007302348,No,1408900.38,19,1091918.08,33918.86,0,NA,3,131082.26,2,185900.04,1167727.89,1,23708.9,1,131082.26,2,185900.04,1508419.09,33918.86
VA,VIRGINIA,5100074,TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,02349,Tidewater Regional Alternative Ed Project,510007402349,No,1409674,18,974196,63450,8,168126,0,NA,4,267352,974196,8,168126,0,0,4,267352,1409674,63450
VA,VIRGINIA,5100075,REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,02350,Reg Alternative Plus Self Project/Roanoke City,510007502350,No,1205291.73,17.02,896742.58,205290.91,0,NA,2.57,161490.11,2,147059.04,925038.33,0,0,2.57,161490.11,2,147059.04,1233587.48,205290.91
VA,VIRGINIA,5100078,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,02353,Altern Ed Prgm/Behav Disord Youth/Montgomery,510007802353,No,1010568.35,12.08,592951.19,8212.6,7.82,106913.04,2.42,122525.56,3,188178.56,746124.42,7.82,106913.04,2.42,122525.56,3,188178.56,1163741.58,8212.6
VA,VIRGINIA,5100080,REGIONAL ALTERNATIVE/PITTSLVANIA CO,02355,Regional Alternative/Pittslvania Co,510008002355,No,576482.6,6.5,436247.46,8030.91,1,12986.64,0,NA,2,127248.5,472726.74,1,12986.64,0,0,2,127248.5,612961.88,8030.91
VA,VIRGINIA,5100082,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,02373,The Regional Community Alternative Ed Continuum,510008202373,No,1013177.59,9,683829.71,122356.65,3,56261.05,1,47381.88,3,225704.95,683829.71,4,76809.05,1,47381.88,3.16,239963.38,1047984.02,136350
VA,VIRGINIA,5100083,PROJECT RENEW/NORTHAMPTON CO,02374,Project Renew/Northampton Co,510008302374,No,122723.75,2,110083.75,0,0.8,12640,0,NA,0,NA,110083.75,0.8,12640,0,0,0,0,122723.75,0
VA,VIRGINIA,5100084,RENAISSANCE/SCOTT CO,02375,Renaissance/Scott Co,510008402375,No,290068.5,3.5,173105,31005.07,0,NA,1.3,52268.5,1,64695,173105,0,0,1.3,52268.5,1,64695,290068.5,31005.07
VA,VIRGINIA,5100086,CROSSROADS ALTERNATIVE/BRISTOL CITY,02357,Crossroads Alternative/Bristol City,510008602357,No,171863.89,4,146762.78,5250,2,25101.11,0,NA,0,NA,146762.78,2,25101.11,0,0,0,0,171863.89,5250
VA,VIRGINIA,5100087,METRO RICHMOND ALTERNATIVE ED,02358,Metro Richmond Alternative Ed,510008702358,No,266000,4,45000,65000,0,NA,2,75000,0.1,9000,180000,0,0,0,0,0.1,9000,266000,0
VA,VIRGINIA,5100088,REGIONAL ALTERNATIVE ED/STAFFORD CO,02359,Regional Alternative Ed/Stafford Co,510008802359,No,469554.96,6,333770.22,14061.89,4,64208.8,1,71575.94,0,NA,333770.22,4,64208.8,1,71575.94,0,0,469554.96,148417.78
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00002,Agnor-Hurt Elementary,510009000002,No,3006091.3,38.07,2231528.63,258565.11,15.51,253103.86,4.86,251228.09,4.92,270230.72,2701758.35,24.75,420309.16,4.96,257905.28,4.96,272304.96,3652277.75,510482.47
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00003,Virginia L. Murray Elementary,510009000003,No,1359598.67,15.95,926470.45,225605.78,3.58,44965.95,4.23,214493.99,3.37,173668.28,1152181.94,8.79,147098.21,4.05,220418.22,3.41,175508.62,1695206.99,451948.72
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00015,Albemarle High,510009000015,No,9389915.49,124.06,6827289.39,1371085.49,17.5,326669,27.36,1353312.64,17.74,882644.46,8538951.97,39.51,740170.71,26.49,1381328.41,17.95,891347.45,11551798.54,2446364.88
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00017,Broadus Wood Elementary,510009000017,No,1346514.62,18.59,956262.01,142703.41,6.34,46389.42,3.39,178433.14,3.22,165430.05,1149632.63,14.47,165474.7,3.28,182027.46,3.25,166546.61,1663681.4,282219.35
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00018,Brownsville Elementary,510009000018,No,3454661.76,45.48,2538990.12,395735.58,11.18,183714.17,6.87,379126.13,6.68,352831.34,2991240.7,25.19,394233.2,6.53,390093.76,6.76,356238.39,4131806.05,810719.61
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00020,Crozet Elementary,510009000020,No,1803608.75,23.05,1302992.33,184602.85,3.3,56269.77,5.03,266671.57,3.31,177675.08,1553277.51,15.48,252678.09,4.87,271714.97,3.35,179241.8,2256912.37,376815.88
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00022,Hollymead Elementary,510009000022,No,2261876.22,28.03,1595258.4,243212.94,4.14,78071.22,4.8,292815.56,4.93,295731.04,1939125.35,18.37,339550.6,4.6,299194.4,4.97,297712.6,2875582.95,488395.43
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00023,Jack Jouett Middle,510009000023,No,3033545.66,41.68,2282440.25,329577.3,5,48150.18,7.82,405020.37,4.51,297934.86,2837589.26,11.3,151719.76,7.57,413246.09,4.57,300490.15,3703045.26,641180.16
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00024,Jackson P. Burley Middle,510009000024,No,3031634.87,40.53,2230003.2,343917.7,8,131698.78,6.9,372920.67,4.53,297012.22,2670616.79,11.3,198625.77,6.64,381373.7,4.59,299638.13,3550254.39,663342.16
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00025,Joseph T. Henley Middle,510009000025,No,3639062.45,49.66,2715962.54,472241.63,2,27426.39,10.42,508382.32,6.45,387291.2,3216328.11,13.45,199198.89,10.03,520884.28,6.54,391174.89,4327586.17,942636.34
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00026,Leslie H. Walton Middle,510009000026,No,2191308.75,29.04,1541346.08,224386.98,2,34666.68,7.75,357666.41,4.31,257629.58,1877557.89,7.18,123168.52,7.6,362667.2,4.35,259183.05,2622576.66,413897.31
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00027,Mary Carr Greer Elementary,510009000027,No,3795878.69,53.43,2895234.75,327287.14,16.48,213968.83,6.45,295309.19,7.1,391365.92,3554585.53,28.81,439632.54,6.17,304543.59,7.17,394234.55,4692996.21,677082.33
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00028,Meriwether Lewis Elementary,510009000028,No,2252063.02,29.21,1677307.26,154336.89,4.06,59978.36,4.84,262128.25,4.23,252649.15,1844896.04,9.19,146560.69,4.73,265822.01,4.26,253796.61,2511075.35,294657.37
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00029,Red Hill Elementary,510009000029,No,1200668.92,12.67,769267.23,114026.77,3.03,43967.62,3.67,208855.95,2.7,178578.12,1086983.46,10.56,146186.65,3.59,211597.86,2.72,179429.88,1624197.85,217657.24
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00030,Murray High,510009000030,No,1098712.33,18.96,817640.51,85454.31,1,6279.9,3.13,176242.55,3.09,98549.37,974900.06,2.05,14953.95,3.08,177649.02,3.1,98986.28,1266489.31,138851.35
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00032,Stone Robinson Elementary,510009000032,No,2160731.91,27.45,1572003.23,205078.3,3.85,72439.36,4.8,276705.37,5.36,239583.95,2063484.69,21.44,316975.45,4.63,282501.74,5.4,241384.57,2904346.45,427808.13
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00033,Stony Point Elementary,510009000033,No,1332851.95,16.39,880866.74,131840.39,5.35,72241.41,4.45,205041.74,3.21,174702.06,1094011.62,10.35,160278.06,4.34,208422.95,3.23,175752.42,1638465.05,262774.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00035,Western Albemarle High,510009000035,No,5473485.63,67.03,3862412.65,806526.63,2.37,56331.35,15.04,833068.07,11,721673.56,4639211.95,9.05,206211.6,14.54,849192.76,11.12,726682.63,6421298.94,1415724.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00036,Woodbrook Elementary,510009000036,No,2027731.02,29.72,1487822.57,168685.84,7.76,96859.51,5.23,203517.24,6.29,239531.7,1880182.58,14.93,241611.94,5.09,208219.68,6.33,240992.5,2571006.7,348194.15
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00751,Mortimer Y. Sutherland Middle,510009000751,No,2646987.75,36.9,1931714.08,335292.38,1,13245.73,7.85,433110.1,5.06,268917.84,2447215.46,11.31,196561,7.58,441662.58,5.12,271574.64,3357013.68,661164.25
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,01747,Monticello High,510009001747,No,5733484.87,76.9,4091184.89,1050496.82,4,75084.26,17.32,925259.76,15.79,641955.96,5030911.59,14.58,291260.27,16.82,941242.39,15.91,646920.9,6910335.15,1657415.48
